MONTH,DAY,DAY_OF_WEEK,AIRLINE,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DIVERTED
1,1,4,DL,ATL,645,1
1,1,4,OO,IAH,745,1
1,1,4,WN,JAX,845,1
1,1,4,EV,HRL,900,1
1,1,4,WN,OKC,930,1
1,1,4,AA,DFW,1100,1
1,1,4,OO,SUN,1115,1
1,1,4,EV,GUC,1115,1
1,1,4,EV,ABQ,1130,1
1,1,4,EV,HRL,1130,1
1,1,4,UA,IAD,1315,1
1,1,4,EV,HRL,1415,1
1,1,4,OO,ASE,1430,1
1,1,4,WN,MCO,1615,1
1,1,4,US,LAS,1615,1
1,1,4,OO,BZN,1715,1
1,1,4,OO,ASE,1815,1
1,1,4,F9,DEN,1845,1
1,1,4,WN,DEN,1915,1
1,1,4,EV,TUL,1930,1
1,2,5,EV,IAH,515,1
1,2,5,OO,SFO,800,1
1,2,5,EV,IAH,815,1
1,2,5,EV,BTR,830,1
1,2,5,WN,LBB,1000,1
1,2,5,MQ,BTR,1000,1
1,2,5,EV,BTR,1015,1
1,2,5,OO,CMX,1030,1
1,2,5,EV,BTR,1030,1
1,2,5,UA,LAX,1145,1
1,2,5,UA,MSY,1230,1
1,2,5,MQ,ORD,1330,1
1,2,5,US,PHX,1500,1
1,2,5,UA,HNL,1615,1
1,2,5,AA,HNL,1630,1
1,2,5,HA,HNL,1700,1
1,2,5,NK,RSW,1730,1
1,2,5,DL,SFO,1745,1
1,2,5,WN,HOU,1830,1
1,2,5,WN,HOU,1845,1
1,2,5,UA,IAH,1845,1
1,2,5,WN,SEA,1845,1
1,2,5,UA,SEA,1900,1
1,2,5,DL,PDX,1915,1
1,2,5,EV,BTR,1915,1
1,2,5,EV,AEX,2100,1
1,2,5,B6,PSE,2145,1
1,2,5,EV,IAH,2200,1
1,3,6,AA,MIA,115,1
1,3,6,UA,IAH,500,1
1,3,6,EV,IAH,615,1
1,3,6,EV,IAH,645,1
1,3,6,UA,IAH,700,1
1,3,6,AS,LAX,700,1
1,3,6,OO,JMS,700,1
1,3,6,DL,JFK,715,1
1,3,6,MQ,CID,715,1
1,3,6,EV,IAH,745,1
1,3,6,MQ,VPS,800,1
1,3,6,OO,TUS,800,1
1,3,6,EV,IAH,830,1
1,3,6,OO,MFR,830,1
1,3,6,US,HNL,830,1
1,3,6,EV,IAH,900,1
1,3,6,EV,VPS,900,1
1,3,6,EV,VPS,900,1
1,3,6,EV,ROA,900,1
1,3,6,EV,IAH,900,1
1,3,6,MQ,DBQ,1000,1
1,3,6,WN,DEN,1015,1
1,3,6,B6,HPN,1145,1
1,3,6,UA,SEA,1200,1
1,3,6,EV,ROA,1215,1
1,3,6,EV,BTR,1230,1
1,3,6,OO,SBP,1245,1
1,3,6,EV,LIT,1300,1
1,3,6,OO,LAR,1300,1
1,3,6,WN,ATL,1330,1
1,3,6,EV,JAN,1330,1
1,3,6,OO,ORD,1345,1
1,3,6,EV,IAH,1430,1
1,3,6,WN,ATL,1500,1
1,3,6,US,CLT,1515,1
1,3,6,B6,SWF,1515,1
1,3,6,DL,ATL,1515,1
1,3,6,WN,BOS,1545,1
1,3,6,B6,BOS,1600,1
1,3,6,MQ,BPT,1600,1
1,3,6,EV,TLH,1615,1
1,3,6,UA,BOS,1615,1
1,3,6,WN,BOS,1645,1
1,3,6,EV,BOS,1700,1
1,3,6,AS,YAK,1700,1
1,3,6,WN,PVD,1700,1
1,3,6,WN,BOS,1715,1
1,3,6,US,SEA,1800,1
1,3,6,WN,MCO,1930,1
1,3,6,OO,ESC,1945,1
1,3,6,WN,ICT,2100,1
1,3,6,DL,ROA,2100,1
1,3,6,MQ,CHS,2115,1
1,4,7,AA,DCA,615,1
1,4,7,US,DCA,715,1
1,4,7,OO,SLC,745,1
1,4,7,US,DCA,800,1
1,4,7,B6,ORH,800,1
1,4,7,OO,JAC,800,1
1,4,7,DL,DCA,815,1
1,4,7,EV,IAH,815,1
1,4,7,MQ,TLH,945,1
1,4,7,DL,SFO,1000,1
1,4,7,WN,MKE,1015,1
1,4,7,B6,HPN,1015,1
1,4,7,EV,XNA,1215,1
1,4,7,AA,BDL,1245,1
1,4,7,EV,CLT,1245,1
1,4,7,EV,GTR,1300,1
1,4,7,MQ,RIC,1315,1
1,4,7,EV,CMH,1315,1
1,4,7,EV,ABE,1330,1
1,4,7,WN,MKE,1345,1
1,4,7,DL,TLH,1400,1
1,4,7,WN,MHT,1445,1
1,4,7,EV,CRW,1500,1
1,4,7,B6,ORH,1500,1
1,4,7,UA,MCO,1515,1
1,4,7,EV,DEN,1600,1
1,4,7,WN,BWI,1645,1
1,4,7,WN,MKE,1730,1
1,4,7,WN,MKE,1730,1
1,4,7,WN,BWI,1800,1
1,4,7,B6,SLC,1845,1
1,4,7,OO,LAX,1900,1
1,5,1,DL,ATL,730,1
1,5,1,UA,LAS,815,1
1,5,1,EV,IAH,815,1
1,5,1,WN,PVD,1015,1
1,5,1,MQ,ROW,1015,1
1,5,1,OO,MSY,1030,1
1,5,1,B6,SEA,1045,1
1,5,1,NK,STT,1245,1
1,5,1,WN,MDW,1415,1
1,5,1,OO,BOI,1430,1
1,5,1,WN,MDW,1615,1
1,5,1,WN,MDW,1630,1
1,5,1,OO,ASE,1630,1
1,5,1,B6,MCO,1645,1
1,5,1,B6,OAK,1700,1
1,5,1,WN,ONT,1700,1
1,5,1,AA,PDX,1730,1
1,5,1,US,SEA,1800,1
1,5,1,UA,ANC,1800,1
1,5,1,OO,DEN,1815,1
1,5,1,WN,MDW,1815,1
1,5,1,OO,COD,1900,1
1,5,1,UA,SEA,1915,1
1,5,1,WN,MDW,1915,1
1,5,1,WN,MDW,1930,1
1,5,1,WN,MDW,2000,1
1,5,1,UA,SNA,2000,1
1,5,1,NK,MYR,2015,1
1,5,1,AA,LAX,2015,1
1,5,1,WN,MDW,2015,1
1,5,1,WN,MDW,2030,1
1,5,1,WN,MDW,2030,1
1,5,1,B6,PDX,2045,1
1,5,1,WN,MDW,2045,1
1,5,1,WN,MDW,2045,1
1,5,1,WN,MDW,2130,1
1,5,1,EV,BTR,2145,1
1,5,1,WN,MDW,2145,1
1,5,1,WN,MDW,2200,1
1,6,2,US,DCA,545,1
1,6,2,US,LGA,600,1
1,6,2,MQ,MIA,600,1
1,6,2,WN,BWI,615,1
1,6,2,WN,DCA,630,1
1,6,2,WN,BWI,645,1
1,6,2,US,DCA,700,1
1,6,2,OO,PDX,700,1
1,6,2,OO,CLD,730,1
1,6,2,WN,BWI,730,1
1,6,2,WN,LGA,730,1
1,6,2,WN,BWI,745,1
1,6,2,AA,LGA,745,1
1,6,2,US,PHL,800,1
1,6,2,EV,LGA,815,1
1,6,2,AA,LGA,830,1
1,6,2,WN,BWI,900,1
1,6,2,WN,PHL,930,1
1,6,2,US,LGA,1000,1
1,6,2,WN,DCA,1000,1
1,6,2,B6,TPA,1045,1
1,6,2,AA,HNL,1100,1
1,6,2,EV,EWR,1115,1
1,6,2,WN,LAS,1115,1
1,6,2,WN,PHL,1130,1
1,6,2,WN,PIT,1245,1
1,6,2,WN,PHL,1300,1
1,6,2,WN,STL,1445,1
1,6,2,B6,BOS,1445,1
1,6,2,US,PHL,1545,1
1,6,2,OO,PDX,1600,1
1,6,2,UA,LAX,1645,1
1,6,2,UA,SEA,1745,1
1,6,2,US,SEA,1800,1
1,6,2,AS,SEA,1830,1
1,6,2,DL,PDX,1845,1
1,6,2,AA,SEA,1900,1
1,6,2,UA,SEA,1900,1
1,6,2,WN,SEA,1915,1
1,6,2,AA,OMA,1915,1
1,6,2,US,MIA,2015,1
1,6,2,OO,IMT,2100,1
1,6,2,UA,SEA,2100,1
1,6,2,DL,GEG,2145,1
1,7,3,OO,DEN,615,1
1,7,3,NK,LAS,700,1
1,7,3,EV,LEX,745,1
1,7,3,UA,IAD,815,1
1,7,3,AA,SJU,830,1
1,7,3,WN,ABQ,845,1
1,7,3,EV,LGA,900,1
1,7,3,WN,PVD,1045,1
1,7,3,OO,IMT,1115,1
1,7,3,WN,LGA,1130,1
1,7,3,WN,GEG,1200,1
1,7,3,OO,MSP,1230,1
1,7,3,OO,BOI,1245,1
1,7,3,WN,LGA,1315,1
1,7,3,OO,BOI,1400,1
1,7,3,UA,PHX,1500,1
1,7,3,OO,BOI,1515,1
1,7,3,AS,WRG,1530,1
1,7,3,EV,EWR,1645,1
1,7,3,B6,SEA,1730,1
1,7,3,UA,SEA,1800,1
1,7,3,US,SEA,1800,1
1,7,3,DL,SEA,1815,1
1,7,3,AS,JNU,1830,1
1,7,3,AA,SEA,1830,1
1,7,3,UA,PDX,1900,1
1,7,3,AA,SEA,1900,1
1,7,3,OO,JAC,1915,1
1,7,3,WN,BNA,1945,1
1,7,3,DL,PDX,2000,1
1,7,3,EV,CMH,2000,1
1,7,3,DL,JAC,2015,1
1,7,3,MQ,ROW,2045,1
1,7,3,AS,BLI,2345,1
1,8,4,AS,PDX,200,1
1,8,4,WN,ATL,615,1
1,8,4,OO,SLC,615,1
1,8,4,NK,FLL,630,1
1,8,4,OO,SLC,830,1
1,8,4,OO,JAC,845,1
1,8,4,DL,SEA,900,1
1,8,4,WN,MDW,915,1
1,8,4,US,BUF,930,1
1,8,4,DL,SLC,930,1
1,8,4,OO,MSP,930,1
1,8,4,WN,MDW,945,1
1,8,4,UA,JAC,945,1
1,8,4,EV,ATL,1000,1
1,8,4,B6,SEA,1000,1
1,8,4,WN,MDW,1000,1
1,8,4,WN,MDW,1000,1
1,8,4,OO,AZO,1030,1
1,8,4,OO,MFR,1100,1
1,8,4,WN,MDW,1100,1
1,8,4,OO,GCC,1115,1
1,8,4,OO,RAP,1130,1
1,8,4,OO,RDM,1145,1
1,8,4,WN,MKE,1200,1
1,8,4,OO,RDM,1215,1
1,8,4,WN,MDW,1230,1
1,8,4,WN,MDW,1230,1
1,8,4,MQ,GRR,1230,1
1,8,4,EV,IAH,1245,1
1,8,4,WN,MDW,1245,1
1,8,4,WN,MDW,1245,1
1,8,4,WN,MDW,1315,1
1,8,4,OO,FWA,1315,1
1,8,4,WN,MDW,1315,1
1,8,4,AS,BLI,1315,1
1,8,4,WN,MDW,1330,1
1,8,4,WN,MDW,1345,1
1,8,4,WN,MDW,1400,1
1,8,4,WN,MDW,1400,1
1,8,4,EV,IAH,1415,1
1,8,4,WN,MDW,1415,1
1,8,4,WN,MDW,1415,1
1,8,4,WN,MDW,1415,1
1,8,4,WN,MDW,1415,1
1,8,4,UA,ORD,1445,1
1,8,4,WN,MDW,1445,1
1,8,4,WN,MDW,1500,1
1,8,4,WN,MDW,1500,1
1,8,4,WN,MDW,1545,1
1,8,4,UA,ORD,1545,1
1,8,4,WN,MDW,1600,1
1,8,4,WN,MDW,1600,1
1,8,4,WN,MDW,1615,1
1,8,4,WN,MDW,1615,1
1,8,4,WN,MDW,1630,1
1,8,4,WN,MDW,1630,1
1,8,4,WN,MDW,1630,1
1,8,4,WN,MDW,1645,1
1,8,4,UA,ORD,1645,1
1,8,4,NK,ORD,1700,1
1,8,4,WN,MDW,1700,1
1,8,4,WN,MDW,1700,1
1,8,4,WN,MDW,1700,1
1,8,4,WN,MDW,1715,1
1,8,4,WN,MDW,1715,1
1,8,4,WN,MDW,1715,1
1,8,4,UA,ORD,1730,1
1,8,4,WN,MDW,1730,1
1,8,4,WN,MDW,1815,1
1,8,4,WN,MDW,1815,1
1,8,4,UA,ORD,1830,1
1,8,4,WN,MDW,1845,1
1,8,4,WN,MDW,1845,1
1,8,4,WN,DEN,1845,1
1,8,4,WN,MDW,1900,1
1,8,4,UA,PDX,1900,1
1,8,4,UA,ORD,1900,1
1,8,4,WN,MDW,1930,1
1,8,4,UA,SNA,2000,1
1,8,4,WN,DEN,2015,1
1,8,4,UA,LGA,2030,1
1,8,4,UA,ORD,2115,1
1,8,4,B6,JFK,2400,1
1,9,5,NK,LGA,600,1
1,9,5,UA,LGA,600,1
1,9,5,WN,LGA,600,1
1,9,5,AA,LGA,600,1
1,9,5,AS,SEA,600,1
1,9,5,B6,JFK,600,1
1,9,5,OO,SEA,600,1
1,9,5,AA,LGA,600,1
1,9,5,WN,LGA,615,1
1,9,5,OO,SEA,615,1
1,9,5,OO,SEA,700,1
1,9,5,OO,SEA,700,1
1,9,5,B6,FLL,715,1
1,9,5,EV,LGA,715,1
1,9,5,OO,OMA,745,1
1,9,5,WN,SAT,900,1
1,9,5,AA,MFE,915,1
1,9,5,EV,IND,1000,1
1,9,5,EV,BRO,1130,1
1,9,5,EV,HRL,1130,1
1,9,5,OO,SMF,1400,1
1,9,5,EV,TYS,1445,1
1,9,5,EV,BRO,1445,1
1,9,5,US,MCO,1630,1
1,9,5,EV,IAH,1745,1
1,9,5,OO,COS,1800,1
1,9,5,AS,JNU,1830,1
1,9,5,DL,COS,1900,1
1,9,5,OO,COS,1930,1
1,9,5,AS,JNU,2000,1
1,9,5,AA,BDL,2000,1
1,9,5,OO,COS,2015,1
1,9,5,AA,COS,2030,1
1,9,5,AA,MIA,2200,1
1,9,5,AA,MIA,2215,1
1,10,6,AA,MIA,130,1
1,10,6,AA,MIA,515,1
1,10,6,OO,RKS,515,1
1,10,6,OO,RHI,600,1
1,10,6,OO,DEN,630,1
1,10,6,MQ,DFW,730,1
1,10,6,DL,DTW,830,1
1,10,6,UA,DEN,845,1
1,10,6,B6,RSW,915,1
1,10,6,EV,DEN,1330,1
1,10,6,US,PHL,1330,1
1,10,6,AA,IAD,1415,1
1,10,6,EV,IAH,1415,1
1,10,6,HA,OAK,1430,1
1,10,6,US,SEA,1800,1
1,10,6,UA,LAX,2200,1
1,11,7,B6,SMF,645,1
1,11,7,MQ,DFW,700,1
1,11,7,UA,SFO,730,1
1,11,7,EV,IAH,830,1
1,11,7,OO,MRY,830,1
1,11,7,EV,IAH,845,1
1,11,7,WN,ELP,900,1
1,11,7,OO,ASE,900,1
1,11,7,EV,ELP,915,1
1,11,7,OO,ASE,915,1
1,11,7,AA,DFW,945,1
1,11,7,DL,ATL,945,1
1,11,7,OO,ASE,945,1
1,11,7,OO,BTM,945,1
1,11,7,AS,SFO,1015,1
1,11,7,OO,SFO,1015,1
1,11,7,OO,SFO,1015,1
1,11,7,AS,OME,1030,1
1,11,7,VX,LAS,1030,1
1,11,7,WN,LAS,1030,1
1,11,7,OO,SUN,1045,1
1,11,7,VX,LAS,1100,1
1,11,7,OO,SFO,1100,1
1,11,7,WN,SFO,1145,1
1,11,7,OO,ASE,1200,1
1,11,7,OO,BTM,1230,1
1,11,7,OO,ATL,1245,1
1,11,7,AA,ORD,1245,1
1,11,7,EV,TYS,1300,1
1,11,7,MQ,ASE,1300,1
1,11,7,MQ,ORD,1345,1
1,11,7,WN,MSY,1400,1
1,11,7,AA,JFK,1400,1
1,11,7,OO,ASE,1600,1
1,11,7,WN,MSY,1700,1
1,11,7,AA,DCA,1700,1
1,11,7,DL,MSY,1700,1
1,11,7,UA,MSY,1700,1
1,11,7,OO,MSY,1700,1
1,11,7,WN,MSY,1730,1
1,11,7,DL,MSY,1730,1
1,11,7,WN,MSY,1745,1
1,11,7,AA,MSY,1745,1
1,11,7,OO,ASE,1745,1
1,11,7,EV,IAH,1800,1
1,11,7,US,MSY,1800,1
1,11,7,OO,ASE,1830,1
1,11,7,US,MSY,1845,1
1,11,7,WN,MDW,1845,1
1,11,7,WN,IND,1900,1
1,11,7,WN,MSY,1915,1
1,11,7,EV,RIC,1915,1
1,11,7,AA,MSY,1915,1
1,11,7,UA,MSY,1930,1
1,11,7,US,CLT,1930,1
1,11,7,DL,MSY,1930,1
1,11,7,WN,IND,1945,1
1,11,7,WN,MDW,1945,1
1,11,7,DL,MSY,2030,1
1,11,7,WN,LAX,2145,1
1,11,7,AA,TPA,2300,1
1,12,1,OO,RKS,515,1
1,12,1,EV,IAH,545,1
1,12,1,WN,BUR,615,1
1,12,1,WN,BUR,615,1
1,12,1,EV,RDU,715,1
1,12,1,OO,SFO,730,1
1,12,1,WN,LBB,815,1
1,12,1,US,PHL,815,1
1,12,1,EV,MOB,815,1
1,12,1,WN,SFO,830,1
1,12,1,EV,COS,900,1
1,12,1,OO,SFO,900,1
1,12,1,DL,FNT,930,1
1,12,1,WN,BUF,930,1
1,12,1,OO,COS,1000,1
1,12,1,WN,ATL,1000,1
1,12,1,EV,HPN,1015,1
1,12,1,EV,ABY,1030,1
1,12,1,AA,MCO,1115,1
1,12,1,WN,OAK,1115,1
1,12,1,EV,ATL,1115,1
1,12,1,OO,SUN,1115,1
1,12,1,WN,ATL,1130,1
1,12,1,EV,ATL,1130,1
1,12,1,AA,ATL,1130,1
1,12,1,DL,ATL,1130,1
1,12,1,EV,ATL,1130,1
1,12,1,DL,ATL,1145,1
1,12,1,WN,ATL,1200,1
1,12,1,DL,ATL,1215,1
1,12,1,OO,ATL,1215,1
1,12,1,MQ,CHO,1230,1
1,12,1,WN,ATL,1230,1
1,12,1,WN,ATL,1300,1
1,12,1,WN,IAD,1300,1
1,12,1,WN,ATL,1315,1
1,12,1,AA,MCO,1315,1
1,12,1,DL,ATL,1315,1
1,12,1,B6,BDL,1400,1
1,12,1,UA,MCO,1415,1
1,12,1,EV,COS,1430,1
1,12,1,WN,PNS,1500,1
1,12,1,DL,PNS,1500,1
1,12,1,DL,LAX,1530,1
1,12,1,DL,DTW,1530,1
1,12,1,MQ,PNS,1630,1
1,12,1,MQ,PNS,1645,1
1,12,1,WN,MDW,1845,1
1,12,1,WN,MDW,1845,1
1,12,1,NK,DFW,1930,1
1,12,1,DL,SNA,1945,1
1,12,1,WN,MKE,2030,1
1,12,1,UA,SFO,2215,1
1,13,2,AS,SJC,600,1
1,13,2,AS,SJC,600,1
1,13,2,OO,SFO,600,1
1,13,2,NK,OAK,600,1
1,13,2,OO,SFO,615,1
1,13,2,OO,SFO,630,1
1,13,2,OO,BUR,645,1
1,13,2,OO,SFO,645,1
1,13,2,WN,PHX,645,1
1,13,2,WN,SMF,700,1
1,13,2,DL,ATL,715,1
1,13,2,EV,RDU,715,1
1,13,2,WN,SMF,730,1
1,13,2,WN,ATL,800,1
1,13,2,AA,HNL,800,1
1,13,2,MQ,DFW,815,1
1,13,2,MQ,ROW,1015,1
1,13,2,OO,HLN,1100,1
1,13,2,MQ,ASE,1300,1
1,13,2,WN,GEG,1400,1
1,13,2,OO,ACV,1530,1
1,13,2,HA,LIH,2145,1
1,13,2,AA,MIA,2200,1
1,13,2,AA,MIA,2215,1
1,13,2,B6,FLL,2245,1
1,13,2,F9,MIA,2330,1
1,14,3,AA,MIA,115,1
1,14,3,NK,FLL,200,1
1,14,3,NK,FLL,415,1
1,14,3,AA,MIA,515,1
1,14,3,OO,RKS,515,1
1,14,3,WN,BWI,600,1
1,14,3,WN,BWI,600,1
1,14,3,AA,MIA,615,1
1,14,3,EV,MSP,730,1
1,14,3,DL,SAV,830,1
1,14,3,AA,DFW,930,1
1,14,3,OO,IND,1000,1
1,14,3,EV,BRO,1100,1
1,14,3,B6,PBI,1115,1
1,14,3,AA,SMF,1230,1
1,14,3,WN,BOS,1315,1
1,14,3,DL,LAX,1345,1
1,14,3,HA,SEA,1415,1
1,14,3,EV,BRO,1700,1
1,14,3,UA,EWR,1900,1
1,14,3,NK,DFW,2015,1
1,14,3,OO,SUN,2100,1
1,15,4,WN,SMF,600,1
1,15,4,B6,SMF,645,1
1,15,4,WN,SMF,700,1
1,15,4,WN,ELP,715,1
1,15,4,EV,FAY,815,1
1,15,4,EV,IAH,830,1
1,15,4,AA,CLT,1000,1
1,15,4,OO,LGB,1115,1
1,15,4,DL,ATL,1300,1
1,15,4,OO,DTW,1345,1
1,15,4,EV,IAH,1630,1
1,15,4,WN,MSY,1945,1
1,15,4,AA,SEA,2000,1
1,15,4,OO,SUN,2145,1
1,15,4,US,PHX,2215,1
1,16,5,DL,ATL,600,1
1,16,5,MQ,RST,800,1
1,16,5,AA,LGA,830,1
1,16,5,DL,HSV,830,1
1,16,5,EV,TUS,900,1
1,16,5,AA,LAS,930,1
1,16,5,OO,JMS,1000,1
1,16,5,AA,PSP,1000,1
1,16,5,OO,SUN,1045,1
1,16,5,AA,HNL,1100,1
1,16,5,OO,SUN,1115,1
1,16,5,UA,LAX,1130,1
1,16,5,OO,ASE,1200,1
1,16,5,WN,MKE,1200,1
1,16,5,AA,JFK,1300,1
1,16,5,EV,TUL,1300,1
1,16,5,UA,ORD,1345,1
1,16,5,OO,JMS,1400,1
1,16,5,OO,BOI,1745,1
1,16,5,AS,SAN,1815,1
1,16,5,OO,SUN,2145,1
1,17,6,AS,LIH,830,1
1,17,6,OO,ORD,845,1
1,17,6,AS,OGG,900,1
1,17,6,AS,KOA,1015,1
1,17,6,OO,JAC,1030,1
1,17,6,OO,DLH,1115,1
1,17,6,AA,LAX,1400,1
1,17,6,US,EWR,2015,1
1,17,6,B6,JFK,2145,1
1,17,6,UA,EWR,2400,1
1,18,7,DL,LGA,600,1
1,18,7,OO,SBP,715,1
1,18,7,OO,SFO,730,1
1,18,7,US,PHL,730,1
1,18,7,WN,LAS,730,1
1,18,7,AA,JFK,745,1
1,18,7,OO,SFO,800,1
1,18,7,OO,SFO,830,1
1,18,7,OO,SFO,845,1
1,18,7,UA,SFO,900,1
1,18,7,AA,DFW,930,1
1,18,7,WN,SFO,930,1
1,18,7,HA,HNL,930,1
1,18,7,DL,BDL,945,1
1,18,7,WN,BDL,1000,1
1,18,7,OO,SFO,1000,1
1,18,7,OO,SFO,1000,1
1,18,7,WN,BDL,1000,1
1,18,7,WN,SFO,1015,1
1,18,7,MQ,BDL,1015,1
1,18,7,B6,BDL,1030,1
1,18,7,OO,SFO,1030,1
1,18,7,MQ,DFW,1400,1
1,18,7,B6,ORH,1530,1
1,18,7,B6,LAX,1600,1
1,18,7,B6,AUS,1600,1
1,18,7,OO,SFO,1600,1
1,18,7,WN,ISP,1630,1
1,18,7,WN,HOU,1645,1
1,18,7,WN,SMF,1715,1
1,18,7,EV,IAH,1745,1
1,18,7,MQ,LAX,1800,1
1,18,7,WN,DAL,2000,1
1,18,7,NK,MYR,2015,1
1,18,7,B6,SFO,2030,1
1,18,7,OO,BFL,2100,1
1,18,7,OO,SBA,2100,1
1,18,7,OO,BFL,2100,1
1,19,1,AS,SEA,700,1
1,19,1,EV,LGA,700,1
1,19,1,WN,HRL,730,1
1,19,1,EV,CID,900,1
1,19,1,DL,CLT,1000,1
1,19,1,EV,DFW,1100,1
1,19,1,OO,VEL,1100,1
1,19,1,OO,DVL,1315,1
1,19,1,UA,IAD,1630,1
1,19,1,OO,BOI,1745,1
1,19,1,OO,BOI,1830,1
1,19,1,OO,SBA,1945,1
1,19,1,WN,PDX,2100,1
1,19,1,AA,STL,2100,1
1,20,2,EV,IAH,515,1
1,20,2,OO,IAH,530,1
1,20,2,EV,IAH,545,1
1,20,2,OO,IAH,545,1
1,20,2,EV,IAH,545,1
1,20,2,WN,LAX,600,1
1,20,2,OO,DEN,600,1
1,20,2,WN,DEN,600,1
1,20,2,OO,IAH,600,1
1,20,2,EV,IAH,615,1
1,20,2,EV,IAH,615,1
1,20,2,EV,IAH,615,1
1,20,2,EV,IAH,630,1
1,20,2,EV,IAH,630,1
1,20,2,EV,IAH,630,1
1,20,2,OO,BUR,645,1
1,20,2,EV,IAH,645,1
1,20,2,EV,IAH,645,1
1,20,2,WN,DCA,700,1
1,20,2,AA,DEN,700,1
1,20,2,OO,DEN,700,1
1,20,2,EV,IAH,700,1
1,20,2,AA,DFW,730,1
1,20,2,WN,BUR,745,1
1,20,2,WN,BUR,800,1
1,20,2,UA,DEN,800,1
1,20,2,OO,BUR,815,1
1,20,2,DL,DEN,845,1
1,20,2,EV,DEN,845,1
1,20,2,EV,CLL,900,1
1,20,2,F9,DEN,900,1
1,20,2,WN,SAT,930,1
1,20,2,EV,DEN,930,1
1,20,2,OO,VEL,1100,1
1,20,2,AS,KTN,1500,1
1,20,2,MQ,FSD,1530,1
1,20,2,AS,KTN,1630,1
1,20,2,WN,SAN,1730,1
1,20,2,VX,SFO,1730,1
1,20,2,OO,JMS,1745,1
1,20,2,OO,BOI,1745,1
1,20,2,B6,EWR,2000,1
1,20,2,EV,HRL,2100,1
1,20,2,EV,BRO,2100,1
1,21,3,EV,IAH,530,1
1,21,3,WN,HOU,630,1
1,21,3,AS,SMF,645,1
1,21,3,OO,JMS,645,1
1,21,3,AS,KTN,715,1
1,21,3,WN,SMF,730,1
1,21,3,MQ,CLE,730,1
1,21,3,OO,PDX,800,1
1,21,3,AS,SCC,800,1
1,21,3,OO,SMF,800,1
1,21,3,EV,CLE,830,1
1,21,3,OO,SMF,830,1
1,21,3,WN,SMF,845,1
1,21,3,EV,CLL,900,1
1,21,3,OO,JMS,1000,1
1,21,3,OO,SPI,1145,1
1,21,3,EV,SAF,1145,1
1,21,3,AS,KTN,1200,1
1,21,3,AS,KTN,1500,1
1,21,3,OO,LGB,1500,1
1,21,3,UA,CLE,1630,1
1,21,3,OO,JMS,1730,1
1,21,3,WN,EWR,1815,1
1,21,3,B6,JFK,2145,1
1,22,4,UA,SFO,600,1
1,22,4,OO,PHX,615,1
1,22,4,OO,JMS,645,1
1,22,4,WN,ELP,700,1
1,22,4,EV,ELP,915,1
1,22,4,US,SEA,930,1
1,22,4,WN,LBB,930,1
1,22,4,EV,MDT,1000,1
1,22,4,AA,ELP,1030,1
1,22,4,EV,IAH,1115,1
1,22,4,AA,ELP,1145,1
1,22,4,EV,ATW,1200,1
1,22,4,WN,ELP,1245,1
1,22,4,EV,IAH,1415,1
1,22,4,EV,IAH,1430,1
1,22,4,US,PHL,1515,1
1,22,4,EV,PHF,1515,1
1,22,4,MQ,EYW,1645,1
1,22,4,AS,OME,1900,1
1,22,4,EV,GRK,1915,1
1,22,4,WN,MCI,2000,1
1,22,4,OO,SMF,2045,1
1,22,4,UA,DEN,2300,1
1,23,5,UA,IAH,645,1
1,23,5,OO,JMS,645,1
1,23,5,US,CLT,815,1
1,23,5,OO,SMF,830,1
1,23,5,EV,FSM,1015,1
1,23,5,OO,ESC,1200,1
1,23,5,EV,LEX,1215,1
1,23,5,EV,IAH,1415,1
1,23,5,AA,ORD,1415,1
1,23,5,F9,RSW,1430,1
1,23,5,DL,LGA,1445,1
1,23,5,WN,PNS,1500,1
1,23,5,MQ,LBB,1515,1
1,23,5,DL,ATL,1700,1
1,23,5,WN,ATL,1700,1
1,23,5,US,PHX,1715,1
1,23,5,OO,PHX,1800,1
1,23,5,EV,JAN,2000,1
1,23,5,US,ONT,2100,1
1,23,5,WN,PVD,2100,1
1,23,5,WN,SMF,2115,1
1,24,6,WN,LAS,545,1
1,24,6,AA,MIA,600,1
1,24,6,OO,RHI,600,1
1,24,6,WN,PVD,645,1
1,24,6,AA,MIA,700,1
1,24,6,WN,PVD,730,1
1,24,6,WN,LGA,815,1
1,24,6,AS,OME,1030,1
1,24,6,UA,SNA,1045,1
1,24,6,AA,BOS,1145,1
1,24,6,DL,MSP,1230,1
1,24,6,MQ,ASE,1300,1
1,24,6,EV,PWM,1330,1
1,24,6,US,PHL,1330,1
1,24,6,EV,DRO,1415,1
1,24,6,EV,CRW,1500,1
1,24,6,MQ,ROC,1515,1
1,24,6,OO,MSP,1600,1
1,24,6,EV,ERI,1630,1
1,24,6,AS,KTN,1845,1
1,24,6,OO,BFL,1845,1
1,25,7,OO,SMF,730,1
1,25,7,US,ORD,845,1
1,25,7,DL,MCO,1030,1
1,25,7,UA,ORD,1145,1
1,25,7,EV,CLE,1400,1
1,25,7,AA,SJU,1645,1
1,25,7,WN,EWR,1700,1
1,25,7,WN,GEG,1730,1
1,25,7,US,MIA,1745,1
1,25,7,US,SEA,1800,1
1,25,7,AA,CMH,1815,1
1,25,7,WN,ATL,1830,1
